教室番号,定員
2332,27
3110,14
3111,40
3112,40
3120,129
3130,129
3140,129
3150,129
3210,246
3220,129
3230,129
3240,129
3250,129
3311,96
3320,129
3330,129
3340,129
3350,129
6101,174
6102,174
6103,174
6104,174
8201,174
8203,238
8313,27
9401,40
9406,36
10115,36
10201,952
10203,176
10204,231
10206,61
10207,61
10208,61
10209,61
10210,61
10211,61
10212,127
10213,61
12124,140
12221,132
12224,72
12225,66
12226,66
12227,66
12228,66
12229,66
12321,132
12324,72
12325,66
12326,66
12327,66
12328,66
12329,66
